Ref,Val,Package,PosX,PosY,Rot,Side
"K_leftArrow1","MX-NoLED","MXOnly-1U-Hotswap",319.151000,-188.976000,0.000000,top
"K_leftCtrl1","MX-NoLED","MXOnly-1.25U-Hotswap",69.088000,-184.277000,0.000000,top
"K_leftShift1","MX-NoLED","MXOnly-2.25U-Hotswap",78.613000,-165.227000,0.000000,top
"K_pgDn1","MX-NoLED","MXOnly-1U-Hotswap",361.950000,-146.177000,0.000000,top
"K_pgUp1","MX-NoLED","MXOnly-1U-Hotswap",361.950000,-127.127000,0.000000,top
"K_rightAlt1","MX-NoLED","MXOnly-1U-Hotswap",257.302000,-184.277000,0.000000,top
"K_rightArrow1","MX-NoLED","MXOnly-1U-Hotswap",357.251000,-188.976000,0.000000,top
"K_rightCtrl1","MX-NoLED","MXOnly-1U-Hotswap",295.275000,-184.277000,0.000000,top
"K_rightShift1","MX-NoLED","MXOnly-1.75U-Hotswap",307.213000,-165.227000,0.000000,top
"K_space1","MX-NoLED","MXOnly-6.25U-Hotswap",188.214000,-184.277000,0.000000,top
"K_upArrow1","MX-NoLED","MXOnly-1U-Hotswap",338.201000,-169.926000,0.000000,top
